Date,Timestamp,Open,High,Low,Close,Volume
20040526,00:00:00,1.21082,1.21422,1.20814,1.20992,1351294.90206468
20040527,00:00:00,1.21,1.22884,1.20867,1.22695,1362757.20209652
20040528,00:00:00,1.22714,1.22956,1.22002,1.22118,1259306.30186802
20040530,00:00:00,1.22304,1.22529,1.22272,1.22299,97281.0000950396
20040531,00:00:00,1.22307,1.22362,1.21722,1.21765,1134711.50173068
20040601,00:00:00,1.21772,1.22657,1.21543,1.22408,1382109.80195014
20040602,00:00:00,1.22415,1.2303,1.2203,1.22117,1376524.40196295
20040603,00:00:00,1.22137,1.22496,1.2168,1.22105,1365369.5024159
20040604,00:00:00,1.22105,1.22997,1.21395,1.22817,1264208.30203815
20040606,00:00:00,1.22867,1.23339,1.22742,1.23253,98967.1999858916
20040607,00:00:00,1.23269,1.23373,1.22992,1.23107,1362278.00198695
20040608,00:00:00,1.2313,1.235,1.22434,1.22654,1358450.70178778
20040609,00:00:00,1.22666,1.22716,1.20225,1.20309,1367077.20191285
20040610,00:00:00,1.20324,1.21179,1.20276,1.20868,1347182.00203478
20040611,00:00:00,1.20855,1.20877,1.19624,1.20038,1272784.3019013
20040613,00:00:00,1.1996,1.20011,1.196,1.1976,98037.4000914991
20040614,00:00:00,1.19745,1.20872,1.19512,1.20621,1354963.00169343
20040615,00:00:00,1.20632,1.21694,1.20254,1.21498,1374126.10217322
20040616,00:00:00,1.21465,1.21677,1.19787,1.20022,1359887.80166642
20040617,00:00:00,1.20035,1.20769,1.19901,1.20351,1366220.00211002
20040618,00:00:00,1.20311,1.21467,1.19725,1.21343,1269118.20210212
20040620,00:00:00,1.21308,1.2145,1.21287,1.21289,95521.5001752675
20040621,00:00:00,1.21305,1.21441,1.20749,1.21172,1348038.80206545
20040622,00:00:00,1.21152,1.21306,1.20652,1.21062,1363591.80237898
20040623,00:00:00,1.2105,1.21911,1.20624,1.20793,1371745.70243405
20040624,00:00:00,1.2075,1.21889,1.2038,1.21677,1352296.40213235
20040625,00:00:00,1.21685,1.21781,1.21062,1.2172,1255041.30217209
20040627,00:00:00,1.2173,1.21816,1.21634,1.21659,99577.0001056492
20040628,00:00:00,1.21641,1.22268,1.21209,1.21874,1358848.90232389
20040629,00:00:00,1.21848,1.21865,1.20646,1.20869,1347315.2020961
20040630,00:00:00,1.20849,1.22078,1.2063,1.21997,1354017.50238204
20040701,00:00:00,1.21987,1.22068,1.21319,1.21618,1349128.90172219
20040702,00:00:00,1.21629,1.23271,1.21416,1.23105,1267841.6018271
